cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
TUTA GOLD,Mahmood,2024-02-07,"1,157",44.1,"95,029,509","5,218","9,118,781",65.0,"73,263,450",,,"279,900",2024
My Boy Only Breaks His Favorite Toys,Taylor Swift,2024-04-18,"1,161",44.0,"161,916,445","3,784","17,036,800",83.0,"13,509,432",,,"47,529",2024
Dandini Dandini Dastana,Derya Yildirim,2023-02-10,"1,165",44.0,"12,750",8,137,9.0,"520,926,927",,,186,2023
Florida!!! (feat. Florence + the Machine),Taylor Swift,2024-04-18,"1,162",44.0,"140,177,107","3,866","16,996,059",,"13,707,215","18,200","45,866,138","68,490",2024
Legends,Juice WRLD,2018-06-22,"1,166",44.0,"681,282,854","118,639","18,809,173",63.0,"186,468,599","36,108","157,362,351","1,025,107",2018
Black Beatles,Rae Sremmurd,2016-08-12,"1,164",44.0,"972,005,229","186,174","27,470,180",69.0,"1,178,473,071","80,426","184,153,973","12,673,047",2016
King Size,Roddy Ricch,2022-11-18,"1,163",44.0,"3,248,779","3,105","291,653",33.0,"590,470,795",113,"297,262",,2022
Girls Want Girls (with Lil Baby),Drake,2021-09-03,"1,168",43.9,"459,480,135","137,691","22,202,207",68.0,"94,845,922","97,707","550,340,528","1,506,723",2021
Linger - SiriusXM Session,Royel Otis,2024-05-31,"1,171",43.9,"8,053,814",908,"11,708,987",69.0,,"74,700","345,797,900",,2024
SLOW DANCING IN THE DARK,Joji,2018-09-12,"1,167",43.9,"1,291,244,134","241,882","48,328,259",29.0,"576,756,813","976,742","1,853,292,133","1,785,813",2018
BIPOLAR,Peso Pluma,2023-09-07,"1,169",43.9,"222,295,526","18,049","13,695,569",,"110,937,613","26,622","83,048","872,796",2023
Addicted,Zerb,2024-03-29,"1,170",43.9,"63,142,772","7,213","65,806,267",79.0,"320,436","7,812","63,352,002","512,040",2024
Besos Moja2,Wisin & Yandel,2022-09-29,"1,176",43.8,"416,361,102","48,450","23,910,344",69.0,"251,373,932","460,773","1,931,498,021","739,386",2022
Wake Up in the Sky,Gucci Mane,2018-09-14,"1,173",43.8,"996,942,947","188,378","27,325,666",71.0,"614,755,305","517,615","424,030,507","6,648,622",2018
