cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
MILLION DOLLAR BABY,Tommy Richman,2024-04-26,1,725.4,"390,470,936","30,716","196,631,588",92.0,"84,274,754","5,767,700","5,332,281,936","2,669,262",2024
Not Like Us,Kendrick Lamar,2024-05-04,2,545.9,"323,703,884","28,113","174,597,137",92.0,"116,347,040","674,700","208,339,025","1,118,279",2024
i like the way you kiss me,Artemas,2024-03-19,3,538.4,"601,309,283","54,331","211,607,669",92.0,"122,599,116","3,025,400","3,369,120,610","5,285,340",2024
Flowers,Miley Cyrus,2023-01-12,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","7,189,811","14,603,725,994","11,822,942",2023
Houdini,Eminem,2024-05-31,5,423.3,"107,034,922","7,223","151,469,874",88.0,"77,373,957","16,400",,"457,017",2024
Lovin On Me,Jack Harlow,2023-11-10,6,410.1,"670,665,438","105,892","175,421,034",83.0,"131,148,091","4,202,367","2,938,686,633","4,517,131",2023
Beautiful Things,Benson Boone,2024-01-18,7,407.2,"900,158,751","73,118","201,585,714",86.0,"308,723,145",,"534,915,313","9,990,302",2024
Gata Only,FloyyMenor,2024-02-02,8,375.8,"675,079,153","40,094","211,236,940",92.0,"228,382,568","3,500,000","3,804,584,163","6,063,523",2024
Danza Kuduro - Cover,MUSIC LAB JPN,2024-06-09,9,355.7,"1,653,018,119",1,15,,,,,,2024
BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,10,330.6,"90,676,573","10,400","184,199,419",86.0,"32,735,244","325,800","974,656,200","666,302",2024
I Had Some Help (feat. Morgan Wallen),Post Malone,2024-05-10,11,322.1,"250,080,413","16,219","168,766,158",91.0,"32,229,063",,"2,100,000","963,413",2024
The Door,Teddy Swims,2024-06-14,12,320.2,"111,155,129",2,"263,767",,,,,,2024
LUNCH,Billie Eilish,2024-05-17,13,316.3,"221,636,195","13,800","197,280,692",92.0,"40,022,524","195,300","360,017,000","450,344",2024
Like That,Future,2024-03-22,14,308.2,"355,186,436","43,025","108,168,634",88.0,"98,081,493",,,"1,963,314",2024
bathroom floor,Kids With Buns,2022-10-07,15,301.6,"297,185",277,"24,445",12.0,"6,736,502,312",3,"22,234","3,288",2022
LALA,Myke Towers,2023-03-22,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","11,054,500","7,499,234,052","2,765,808",2023
Fortnight (feat. Post Malone),Taylor Swift,2024-04-18,17,297.6,"395,433,400","12,784","177,932,568",89.0,"104,673,836","139,300","207,317,000","1,210,029",2024
greedy,Tate McRae,2023-09-14,18,293.7,"1,258,569,694","105,218","198,845,580",87.0,"141,646,818","2,294,429","5,456,156,211","6,973,652",2023
BLUE,Billie Eilish,2024-05-17,19,292.6,"91,272,461","6,499","52,287,548",86.0,"16,038,053","941,900","1,225,345,800","257,661",2024
As It Was,Harry Styles,2022-03-31,20,292.0,"3,301,814,535","407,119","169,783,402",87.0,"800,899,315","2,755,903","15,405,881,843","14,967,379",2022
Paint The Town Red,Doja Cat,2023-08-04,21,290.5,"1,065,399,331","170,890","121,712,197",78.0,"240,970,670","3,091,732","7,095,564,106","7,559,816",2023
Espresso,Sabrina Carpenter,2024-04-12,22,281.5,"547,882,871","24,425","262,343,414",95.0,"107,550,212","209,200","1,379,499,000","1,373,085",2024
Danza Kuduro - Cover,MUSIC LAB JPN,2024-05-21,23,279.0,"1,655,575,417",10,655,,,,,,2024
TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,24,278.9,"426,700,979","34,044","152,928,632",86.0,"35,724,356","1,470,500","6,518,604,175","2,100,708",2024
Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,26,268.1,"7,382,759","3,504","661,084",35.0,"4,233,958","37,621,885","22,918,660,728","633,525",2022
STAY (with Justin Bieber),The Kid LAROI,2021-07-09,27,266.3,"3,107,100,349","451,732","134,793,519",78.0,"1,256,973,582","7,485,966","23,712,377,029",,2021
Baby Shark,Pinkfong,2015-12-01,28,265.7,"720,822,868","60,945","7,530,769",71.0,"16,322,756,555","7,743,800","6,577,639,193","2,064,420",2015
we can't be friends (wait for your love),Ariana Grande,2024-03-08,29,262.8,"591,068,364","26,203","197,494,995",87.0,"156,882,014",,,"1,579,980",2024
Numb / Encore,JAY-Z,2024-04-12,30,256.0,"1,003,215,671",128,"485,454",,,,,"4,474,248",2024
Danza Kuduro - Cover,LOVE BGM JPN,2024-05-14,31,249.8,"1,645,079,292",,,,,,,,2024
SHEESH,BABYMONSTER,2024-04-01,32,237.5,"124,893,397","3,479","25,936,342",82.0,"359,896,095","212,500","390,081,328","191,867",2024
Water,Tyla,2023-07-28,33,234.6,"670,376,179","98,450","150,471,020",83.0,"265,180,930","2,114,363","3,932,956,380","6,447,136",2023
Strangers,Kenya Grace,2023-09-01,34,233.5,"750,154,960","139,141","103,879,363",79.0,"118,208,096","1,031,447","2,231,749,390","7,477,917",2023
Too Sweet,Hozier,2024-03-22,35,231.6,"532,012,790","23,557","67,488,850",,"62,123,098",,,,2024
What's Love Got to Do with It - 2023 Remaster,Tina Turner,2024-04-26,36,230.0,"479,417,905",7,"1,519",,,,,"3,692,067",2024
A Bar Song (Tipsy),Shaboozey,2024-04-12,37,226.4,"311,928,522","25,766","180,237,463",96.0,"62,694,868",,"378,313,942","1,707,213",2024
Lose Control,Teddy Swims,2023-06-23,38,224.1,"775,135,157","88,239","180,617,454",87.0,"139,180,960","396,560","597,513,595","10,517,831",2023
fukumean,Gunna,2023-06-15,39,221.1,"759,998,727","188,142","80,392,612",80.0,"94,699,547","1,237,229","3,281,790,327","3,945,184",2023
Dance Monkey,Tones And I,2019-05-10,40,214.5,"3,071,214,106","375,201","64,901,153",71.0,"3,366,447,481","10,342,366","5,861,939,942","44,842,636",2019
BIRDS OF A FEATHER,Billie Eilish,2024-05-17,41,212.8,"214,237,645","10,871","202,626,837",92.0,"11,033,725","251,200","443,104,700","285,858",2024
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,42,211.2,"170,970,614","27,827","5,784,546",41.0,"22,280,037","14,348,249","12,196,985,599",,2023
I'm Good (Blue),David Guetta,2022-08-26,43,209.6,"1,658,229,422","262,248","239,957,538",83.0,"466,080,689","728,093","1,051,836,430","10,973,120",2022
Daylight,David Kushner,2023-04-14,44,207.0,"1,126,820,069","177,800","85,255,689",82.0,"274,070,101","2,557,115","2,578,518,632","8,681,350",2023
My Love Mine All Mine,Mitski,2023-09-15,45,206.2,"997,702,304","105,927","92,834,002",86.0,"48,093,111","3,648,759","5,469,808,282","2,682,219",2023
Please Please Please,Sabrina Carpenter,2024-06-06,46,205.7,"59,314,441","2,572","183,043,096",83.0,"22,374,807",,"1,200,000","47,115",2024
Houdini,Dua Lipa,2023-11-09,47,205.1,"493,627,071","45,300","87,874,006",80.0,"150,571,504","93,500","386,610,043","2,389,957",2023
Danza Kuduro - Cover,MUSIC LAB JPN,2024-05-02,48,204.4,"1,655,575,417",9,85,,,,,,2024
If We Ever Broke Up,Mae Stephens,2023-02-10,49,203.6,"304,929,492","43,923","46,133,083",69.0,"61,986,821","13,872,768","5,684,815,935","2,227,494",2023
Despacito,Luis Fonsi,2017-01-13,50,203.5,"1,747,093,405","178,114","49,464,650",74.0,"9,537,135,721","799,338","1,143,297,071","19,622,551",2017
euphoria,Kendrick Lamar,2024-04-30,51,202.1,"168,434,320","17,168","62,516,401",86.0,"53,604,746",,,"654,482",2024
Panda Basi,Mvua,2023-02-10,52,200.3,"104,271",249,"8,585",25.0,"2,457,026,781",190,"393,580","1,881",2023
Calm Down (with Selena Gomez),Rema,2022-08-25,53,198.0,"1,391,688,322","163,876","130,963,116",77.0,"902,742,581",599,"2,857,920","3,521,951",2022
Shape of You,Ed Sheeran,2017-01-06,54,195.1,"3,909,458,734","316,378","148,037,882",80.0,"8,013,997,219","2,270,315","2,320,856,331","1,146,246",2017
Mitu,Maian,2023-01-19,55,194.3,"55,346",42,"16,861",13.0,"2,432,265,978",,,200,2023
Blinding Lights,The Weeknd,2019-11-29,56,194.0,"4,281,468,720","590,392","165,544,011",83.0,"833,807,130","2,882,064","3,501,177,394","28,994,660",2019
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,57,192.3,"1,337,619,917","228,295","64,806,723",80.0,"193,982,443","423,714","1,268,862,678","6,205,060",2022
Danza Kuduro - Cover,MUSIC LAB JPN,2024-04-29,59,190.0,"1,655,575,417",1,3,,,,,,2024
Unholy (feat. Kim Petras),Sam Smith,2022-09-22,60,189.1,"1,556,275,789","210,583","95,974,138",74.0,"254,051,906","2,379,787","7,945,975,878","10,192,485",2022
Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,62,186.5,"1,384",2,801,,"222,076","5,013,500","8,811,416,708",,2023
Supernova,aespa,2024-05-13,63,186.1,"69,729,033","2,483","21,046,278",81.0,"111,310,770","56,600","393,973,528","63,283",2024
Me Porto Bonito,Bad Bunny,2022-05-06,64,184.8,"1,811,990,630","173,358","67,603,671",79.0,"1,516,863,120","4,506,600","6,470,937,272","3,393,920",2022
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,2024-03-29,65,181.4,"199,929,812",4,98,,,,,,2024
Calm Down,Rema,2022-02-10,66,180.1,"584,427,088","182,994","19,203,258",68.0,"1,141,904,909","6,129,450","18,216,656,774","22,563,407",2022
CARNIVAL,ýý$,2024-02-08,67,179.6,"466,887,055","53,842","103,935,623",84.0,"27,688,666",,,"1,982,000",2024
Kill Bill,SZA,2022-12-08,68,177.7,"1,873,746,537","190,202","99,546,318",82.0,"220,538,045","266,430","1,284,413,960","4,873,832",2022
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,69,177.6,"891,720,245","114,560","97,542,546",82.0,"144,741,616","1,443,103","3,998,086,216","4,476,509",2023
Babba,Guy Mac,2023-03-03,70,176.2,"46,567",252,"21,930",6.0,"2,038,459,981",,,903,2023
Heat Waves,Glass Animals,2020-06-29,71,175.0,"2,996,181,078","486,278","112,416,489",82.0,"1,272,898,075","1,416,295","5,518,429,969","17,848,778",2020
In the End,Linkin Park,2024-04-12,72,174.8,"2,045,512,421",97,"488,602",,,,,,2024
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,73,174.3,"946,941,510","100,130","74,836,321",74.0,"776,436,101","4,210,895","11,936,401,096","2,237,762",2023
The Way We Move - Extended Mix,PowerDress,2023-03-10,74,173.6,"7,909",38,"15,023",4.0,"1,999,374,091",,,"1,412",2023
Old Town Road,Lil Nas X,2019-03-14,75,170.3,"1,010,494,713","127,393","18,652,312",67.0,"3,203,314,695","5,757,883","1,981,431,049","8,856,633",2019
un x100to,Grupo Frontera,2023-04-17,76,170.2,"1,008,495,696","99,381","57,394,938",75.0,"878,892,413","796,603","1,669,065,906","2,283,747",2023
Sprinter,Dave,2023-06-01,78,168.1,"692,512,930","199,828","55,464,762",78.0,"219,666,692","731,797","1,254,944,697","3,093,667",2023
CHIHIRO,Billie Eilish,2024-05-17,79,167.8,"169,410,711","11,028","144,854,768",90.0,"19,402,457",284,,"388,625",2024
TQG,KAROL G,2023-02-23,80,167.8,"1,024,381,758","78,554","69,319,589",78.0,"1,102,289,596","457,111","248,168,852","3,488,226",2023
Perfect,Ed Sheeran,2017-03-03,81,167.5,"2,969,999,682","280,165","116,921,604",81.0,"6,473,698,897","6,642,975","7,647,479,866",,2017
Pepas,Farruko,2021-06-24,82,167.3,"1,500,499,584","359,502","125,112,486",74.0,"1,431,591,689","2,866,181","4,067,248,819","17,210,946",2021
Peekaboo,Dave Angel,2023-01-27,83,167.2,"8,082",63,"32,758",,"2,055,940,513",,,442,2023
Ella Baila Sola,Eslabon Armado,2023-03-16,84,166.5,"1,215,336,974","129,463","39,814,172",74.0,"701,880,622","5,416","15,373,104","3,435,177",2023
Dance The Night - From Barbie The Album,Dua Lipa,2023-05-25,85,166.2,"860,026,452","74,769","139,913,794",80.0,"173,044,031","175,536","1,227,837,850","3,199,636",2023
La Bebe - Remix,Yng Lvcas,2023-03-17,86,164.9,"1,032,225,805","94,887","74,469,479",79.0,"920,878,032","1,031,612","2,416,141,351","2,635,577",2023
redrum,21 Savage,2024-01-12,87,164.8,"428,233,003","57,311","144,298,748",,"105,148,629","87,200","43,993,800","2,490,071",2024
Easy On Me,Adele,2021-10-14,88,163.2,"1,720,918,065","209,635","93,875,458",73.0,"1,194,846,205","1,912,194","7,860,224,413","7,569,155",2021
Titï¿½ï¿½ Me Pregu,Bad Bunny,2022-05-06,89,163.1,"1,514,239,759","190,692","77,283,361",77.0,"1,366,181,141","1,769,068","5,249,863,696","5,133,847",2022
All My Life (feat. J. Cole),Lil Durk,2023-05-12,90,162.0,"333,202,114","108,322","41,018,697",68.0,"203,487,345","928,132","748,253,884","4,207,535",2023
Anti-Hero,Taylor Swift,2022-10-21,91,161.8,"1,563,224,246","117,005","97,456,780",80.0,"203,259,285","1,302,967","3,864,505,972","4,703,179",2022
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,92,161.7,"1,692,951,462","209,490","88,591,675",78.0,"1,132,539,234","1,212,100","2,054,826,154","6,836,893",2022
Magnetic,ILLIT,2024-03-25,93,161.0,"255,076,355","11,500","90,584,540",86.0,"202,206,901",,"506,476,590","659,825",2024
Lollipop,Darell,2023-07-28,94,158.2,"275,349,653","37,806","22,826,643",70.0,"347,506,860","4,349,700","4,767,676,439","1,245,874",2023
La Diabla,Xavi,2023-12-02,95,155.9,"649,404,552","27,544","47,789,063",83.0,"433,839,212",,"10,603,563","1,380,069",2023
Boy's a Liar Pt. 2,PinkPantheress,2023-02-03,96,153.6,"851,085,705","129,047","50,996,176",70.0,"211,810,152","3,502,547","8,781,020,473","2,580,691",2023
Snooze,SZA,2022-12-09,97,153.3,"1,013,350,808","108,036","86,470,319",84.0,"390,677,417","402,338","887,803,828","3,129,609",2022
BELLAKEO,Peso Pluma,2023-12-07,98,153.1,"359,803,580","26,065","79,152,427",86.0,"369,321,334","720,800","874,056,250","1,002,835",2023
Agora Hills,Doja Cat,2023-09-22,99,152.8,"509,653,100","66,219","67,521,533",,"48,045,203","328,562","544,437,406","4,295,361",2023
Prada,cassï¿,2023-08-11,100,152.5,"609,699,748","128,498","160,755,092",83.0,"47,611,547","283,600","1,090,501,901",,2023
Montagem Rave Eterno,Dj Samir,2024-05-02,101,152.3,"5,157,486",470,"2,924,720",,"1,278,618","1,100,000","3,900,000","47,658",2024
Lil Boo Thang,Paul Russell,2023-08-18,102,152.1,"242,070,373","37,170","74,130,983",76.0,"22,907,992","2,553,106","3,832,221,658","2,219,984",2023
MONACO,Bad Bunny,2023-10-13,103,150.7,"478,150,858","73,306","51,842,133",78.0,"113,379,734","1,700,998","2,111,289,492","2,255,465",2023
Laxed (Siren Beat),Jawsh 685,2020-04-24,104,150.5,"61,382,407","7,240","1,708,319",43.0,"9,977,490","37,726,462","147,837,262","3,819,161",2020
(It Goes Like) Nanana - Edit,Peggy Gou,2023-06-15,105,150.4,"460,156,070","163,449","127,827,271",77.0,"8,183,226","530,103","1,032,799,567","9,279,625",2023
Training Season,Dua Lipa,2024-02-15,106,148.9,"251,153,869","16,811","92,985,554",76.0,"66,691,067","102,884","431,390,500","2,047,771",2024
Type Shit,Future,2024-03-22,107,148.1,"205,206,688","28,064","84,737,651",84.0,"39,453,253",,,"900,933",2024
Armageddon,aespa,2024-05-27,108,147.4,"32,942,304","1,262","26,204,483",74.0,"57,861,795",,,"29,736",2024
The Box,Roddy Ricch,2019-12-06,109,146.6,"1,911,559,785","317,345","87,765,033",78.0,"441,257,231","4,930,490","4,574,447,121","11,988,760",2019
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,110,145.3,"2,014,959,725","354,831","87,942,438",70.0,"1,003,346,208","1,750,366","9,558,947,943","12,693,846",2021
Pedro,Jaxomy,2024-03-29,111,144.6,"168,145,583","27,654","159,737,263",85.0,"35,008,949",,,"2,408,838",2024
Fast Car,Luke Combs,2023-03-24,112,144.5,"518,988,585","73,116","58,391,498",80.0,"107,703,759","354,036","924,204,888","3,108,167",2023
Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,113,144.0,"247,399,972","22,222","13,870,528",80.0,"389,540,239",,"296,522,040","1,069,500",2024
Aesthetic,Tollan Kim,2022-03-04,114,144.0,"5,712,985","2,311","535,908",44.0,"3,120,073","20,114,495","33,870,791,454","249,823",2022
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2018-10-18,116,143.9,"3,358,704,125","392,082","123,917,182",79.0,"2,763,188,773","2,714,134","1,597,453,878","1,569,935",2018
Hands,Dianï¿½,2022-08-01,115,143.9,"126,914",8,212,1.0,"2,435,813,922",33,"6,415",295,2022
Saturn,SZA,2024-02-24,117,142.8,"343,090,427","21,104","154,253,718",87.0,"38,173,339",,,"745,798",2024
Believer,Imagine Dragons,2017-01-31,119,142.2,"3,006,226,762","335,880","89,243,475",81.0,"4,495,059,988","5,745,117","5,876,458,723","21,306,706",2017
WAIT FOR U (feat. Drake & Tems),Future,2022-04-27,120,141.0,"787,155,930","183,850","58,397,185",77.0,"357,772,653","931,660","836,550,889","3,534,164",2022
I KNOW ?,Travis Scott,2023-07-28,121,139.5,"532,605,345","128,534","31,725,858",81.0,"97,958,347","322,900","947,194,801","1,861,958",2023
ANDO,Jere Klein,2023-09-27,122,139.0,"292,789,738","28,591","30,905,957",72.0,"406,307,035","1,900,606","872,862,858","1,195,337",2023
First Class,Jack Harlow,2022-04-08,123,138.6,"818,858,244","223,609","49,586,777",71.0,"231,229,581","1,610,614","6,890,780,336","4,244,972",2022
FE!N,Travis Scott,2023-07-28,124,137.8,"659,010,786","129,923","93,969,186",86.0,"125,203,447","22,100","107,398,826","1,839,283",2023
Save Your Tears - Live,The Weeknd,2023-03-03,125,137.7,"3,913,988",545,"1,054,122",40.0,"1,577,017,938",,,,2023
Losing Interest - Original Mix,Goovex,2024-06-10,126,136.4,"126,247,886",5,"5,973",1.0,,,,,2024
I Ain't Worried,OneRepublic,2022-05-13,127,136.2,"1,607,421,145","212,406","160,444,270",83.0,"409,785,349","247,865","1,825,552,705","9,091,826",2022
MI EX TENï¿½ï¿½A RA,KAROL G,2023-08-10,128,136.2,"438,796,949","23,959","34,805,394",78.0,"509,727,241","1,223,804","782,582,119","865,444",2023
Drained of Color,Exhumed,2022-08-30,129,134.0,"158,627",635,"18,765",16.0,"2,156,140,830",9,"4,484",208,2022
Mood (feat. iann dior),24kGoldn,2020-07-24,130,133.0,"1,867,736,006","302,486","82,611,625",76.0,"747,126,783","2,467,227","1,768,836,179","10,228,436",2020
Dynamite,BTS,2020-08-21,131,132.3,"1,872,577,908","144,619","51,186,002",74.0,"2,638,957,320","3,098,499","5,063,720,138","7,896,781",2020
Looking Like a Wow End of Year 2023,WasteLand,2023-12-10,132,130.7,"8,327",3,8,,,"4,200,000","73,318,253",522,2023
Someone You Loved,Lewis Capaldi,2018-11-08,133,129.7,"3,427,498,835","338,763","160,553,919",82.0,"2,153,701,892","1,940,473","2,161,032,034","29,266,297",2018
Acrï¿½ï¿½s,Shakira,2023-05-11,134,129.6,"230,849,195","23,091","12,233,221",64.0,"363,082,908","4,897,595","1,551,501,289","623,446",2023
Made You Look,Meghan Trainor,2022-10-21,135,129.5,"720,720,922","74,295","89,509,926",77.0,"221,078,988","4,687,520","15,247,253,457","3,086,624",2022
PHONK BRASILEIRO FRESCO (Slowed + Reverb),DJ MOIGUS,2023-06-22,136,129.4,"1,378,494",351,"43,395",34.0,"1,022,331","7,702,832","1,272,592,848","50,550",2023
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024-05-29,137,129.1,"2,827,545",62,"1,433,870",,"54,330,074",,,"5,620",2024
vampire,Olivia Rodrigo,2023-06-30,138,128.9,"998,964,097","90,793","87,801,398",18.0,"113,450,524","394,640","1,448,207,880","4,872,257",2023
Casca de Bala,Thullio Milionï¿½ï¿,2024-03-01,139,128.5,"37,157,630","2,052","30,387,641",74.0,"63,418,833","1,600,000","8,850,449","42,895",2024
Back,LOLA,2022-08-03,140,128.0,"48,428",92,"15,747",3.0,"2,123,978,358",111,"735,317",,2022
People,Libianca,2022-12-05,141,127.8,"631,955,547","121,823","45,030,006",74.0,"305,998,382","3,168,854","3,233,505,931","6,121,126",2022
Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-03-17,143,127.3,"94,635,338","10,537","11,716,074",,"944,314","1,300,000","1,542,242,100","1,597,467",2024
I Don't Wanna Wait,David Guetta,2024-04-05,144,126.9,"114,574,238","10,564","180,987,712",84.0,"9,134,225","299,000","79,796,400",,2024
Abc,J Ross,2023-02-14,145,126.6,"31,867",5,"5,100",1.0,"1,538,564,650",,,"1,178",2023
La Bachata,Manuel Turizo,2022-05-26,146,126.2,"1,721,045,197","156,941","97,122,096",81.0,"798,827,877","1,614,275","2,596,777,974","4,817,885",2022
ýýýýýýýýýýýýýýýýýýýýý,FLI:P,2023-04-07,147,125.4,"8,028,757","1,972","488,653",44.0,"48,533,758","8,800,000","3,985,974,550","220,198",2023
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-03-19,148,125.2,"1,612,286,123","282,719","97,390,961",74.0,"1,019,256,266","1,404,274","4,702,037,810","7,848,760",2021
Don't Start Now,Dua Lipa,2019-10-31,149,124.6,"2,607,121,959","270,230","143,953,432",78.0,"1,201,600,884","4,725,570","3,535,661,993","13,421,701",2019
Lucid Dreams,Juice WRLD,2018-05-04,150,123.9,"2,548,389,305","339,306","75,858,140",78.0,"987,143,411","1,900,813","338,071,383","9,308,937",2018
PROVENZA,KAROL G,2022-04-22,151,123.8,"1,185,929,926","103,026","64,847,502",76.0,"1,229,843,060","1,300,337","2,829,294,043","3,397,861",2022
WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,152,123.4,"1,325,725,696","171,255","53,040,559",72.0,"1,329,826,741","8,470,921","9,539,547,626","4,618,794",2020
SPOT!,ZICO,2024-04-26,153,122.8,"77,757,035","3,407","35,428,519",81.0,"100,148,771","99,900","366,905,484","173,263",2024
Family Matters,Drake,2024-05-03,154,122.7,"72,335,127","8,696","36,774,031",86.0,"41,492,122",,,"283,217",2024
Again,Kurochuu,2024-06-09,155,122.5,"136,237,285",2,"2,190",2.0,,,,,2024
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-14,156,122.4,"1,673,557,134","54,950","91,343,768",80.0,"397,523,735","341,522","761,760,624","2,310,409",2023
Last Night,Morgan Wallen,2023-01-31,157,121.9,"922,010,059","107,189","61,174,155",79.0,"141,852,059","285,414","811,685,466","2,665,347",2023
Too Sweet,Hozier,2024-03-22,158,121.2,"532,012,790","22,396","130,752,527",85.0,"13,119,247",,,"2,580,089",2024
Bad Habits,Ed Sheeran,2020-01-01,159,120.8,"1,754,311,538","271,758","62,218,811",74.0,"958,790,883","1,036,355","2,658,904,267","15,886,717",2020
QLONA,KAROL G,2023-08-10,160,120.7,"850,810,162","56,104","79,334,561",82.0,"258,553,384","1,167,300","717,259,721","1,537,093",2023
Leave The Door Open,Bruno Mars,2021-03-05,161,120.1,"1,312,168,384","248,793","50,068,571",75.0,"993,324,548","1,503,567","3,350,704,343","10,288,388",2021
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),2022-01-05,162,119.5,"548,408",130,"20,518",24.0,"1,356,336","18,000,000","7,041,708,832","69,763",2022
good 4 u,Olivia Rodrigo,2021-05-14,163,117.8,"2,167,768,056","309,421","72,787,213",79.0,"773,591,065","1,893,481","8,186,754,429",,2021
bad guy,Billie Eilish,2019-03-29,164,117.7,"2,516,804,300","296,739","113,315,017",76.0,"1,779,243,626","3,774,645","1,409,756,969","18,994,040",2019
Seï¿½ï¿½o,Shawn Mendes,2018-05-25,165,117.6,"2,738,293,818","251,033","108,433,327",74.0,"2,372,399,124","5,815,851","1,859,977,153","15,254,141",2018
DESPECHï¿,ROSALï¿½,2022-07-28,166,116.9,"1,003,487,432","126,402","88,024,543",73.0,"621,874,255","2,409,247","6,208,638,113","3,205,234",2022
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-04-17,167,116.7,"1,638,836,101","272,933","50,425,049",70.0,"1,170,441,361","5,241,838","3,869,815,694","7,646,337",2020
Eyes Closed,Ed Sheeran,2023-03-23,168,116.6,"372,423,476","44,730","21,933,393",71.0,"131,308,671","1,102,985","830,123,390","2,886,987",2023
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-24,169,116.5,"630,373,315","70,400","105,320,547",84.0,"50,938,569","215,433","586,454,750","1,673,932",2023
Circles,Post Malone,2019-08-30,170,116.0,"2,481,391,466","332,437","124,491,320",80.0,"1,116,323,669","83,111","273,522,601","13,634,519",2019
EL AMOR DE SU VIDA,Grupo Frontera,2023-08-03,171,115.9,"474,590,289","24,891","25,915,889",78.0,"577,930,708","136,500","509,287,649","1,173,817",2023
About Damn Time,Lizzo,2022-04-14,172,115.6,"847,025,688","104,052","47,808,065",66.0,"106,024,874","3,030,761","15,665,483,220","5,445,721",2022
Closer,The Chainsmokers,2016-07-29,173,114.6,"2,880,536,961","285,381","129,399,627",80.0,"4,086,121,880","1,103,074","514,053,404","16,185,008",2016
FLOWER,JISOO,2023-03-31,174,114.3,"440,364,356","26,107","15,314,737",70.0,"525,156,884","3,411,209","6,724,997,940","1,058,579",2023
PERRO NEGRO,Bad Bunny,2023-10-13,175,114.2,"689,181,455","61,138","90,492,257",83.0,"183,381,482","213,300","487,440,417","930,098",2023
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,2023-10-06,176,113.2,"372,248,119","68,037","44,498,005",,"86,580,734","77,600","128,182,068","2,131,059",2023
Havana (feat. Young Thug),Camila Cabello,2017-08-03,177,112.8,"2,072,182,782","194,332","86,159,672",75.0,"3,952,909,529","1,314,091","546,650,805","16,095,913",2017
LUNA,Feid,2023-12-01,178,112.6,"606,124,553","40,628","139,802,900",86.0,"166,363,445","14,519","29,601,244","1,704,574",2023
I Like You (A Happier Song) (with Doja Cat),Post Malone,2022-06-03,179,112.5,"827,950,825","118,965","64,661,540",73.0,"299,001,099","172,228","1,359,837,461","3,384,275",2022
Bones,Imagine Dragons,2022-03-11,180,112.0,"1,227,475,431","180,053","70,861,210",78.0,"584,854,654","341,199","2,255,843,288","7,031,981",2022
Segï¿½ï¿½n Qu,Maluma,2023-08-17,182,111.8,"571,366,508","32,236","42,828,677",79.0,"475,200,526",,,"1,703,294",2023
Selfish,Justin Timberlake,2024-01-25,181,111.8,"92,932,220","8,847","31,258,778",,"42,581,931",,,"1,440,935",2024
golden hour,JVKE,2022-07-15,183,111.4,"1,126,986,320","200,887","45,885,823",73.0,"293,553,015","461,623","2,305,840,359","3,897,680",2022
Levitating (feat. DaBaby),Dua Lipa,2020-03-27,184,111.3,"2,074,721,986","255,296","109,442,317",77.0,"1,665,434,424","858,364","2,649,555,956","7,948,325",2020
Get It Sexyy,Sexyy Red,2024-03-15,185,111.1,"89,362,910","7,377","70,714,216",84.0,"37,676,729","361,700","476,545,000","514,293",2024
"This Wish - From ""Wish""",Ariana DeBose,2023-10-18,186,110.9,"26,674,909","2,673","8,562,091",19.0,"7,863,539","4,304,279","709,276,580","87,704",2023
IDGAF (feat. Yeat),Drake,2023-10-06,187,110.8,"406,875,019","85,930","45,178,662",,"39,850,191","1,225","22,689,637","964,984",2023
